osm_type,osm_id,name,place_type,lat,lon,address_full,street,housenumber,district,website,phone,opening_hours,osm_url
node,2469571540,Робинзон,restaurant,56.0241634,92.8364425,"улица Железнодорожников, 27А",улица Железнодорожников,27А,Железнодорожный район,https://www.bar-robinzon.ru/,+7 391 2680848,"Mo-Fr 12:00-24:00; Sa, Su 12:00-02:00",https://www.openstreetmap.org/node/2469571540
node,2432303100,Свинья и бисер,restaurant,56.0137162,92.8520843,"улица Красной Армии, 16А",улица Красной Армии,16А,Центральный район,,,"Mo-We,Su 07:00-23:00; Th-Sa 07:00-24:00",https://www.openstreetmap.org/node/2432303100
node,2708222207,Сибирь,restaurant,56.0398314,92.9240043,"660077, Красноярск, Октябрьская улица",Октябрьская улица,,Советский район,,,24/7,https://www.openstreetmap.org/node/2708222207
node,2466989897,Старая Прага,restaurant,56.0058875,92.9519798,"660000, Красноярск, улица Корнетова",улица Корнетова,,Кировский район,,,,https://www.openstreetmap.org/node/2466989897
node,12870724264,Сушиsell,restaurant,56.0342522,92.9176908,"660000, Красноярск, Взлётная улица, 2",Взлётная улица,2,Советский район,,,,https://www.openstreetmap.org/node/12870724264
node,12039294069,Сыроварня,restaurant,56.0092534,92.8690829,"660049, Красноярск, улица Урицкого, 94",улица Урицкого,94,Центральный район,https://www.syrovarnya.com/,+7 (391) 219-70-70,Mo-Th 10:00-00:00; Fr-Sa 10:00-01:00; Su 10:00-00:00,https://www.openstreetmap.org/node/12039294069
node,10763137405,Тамаго,restaurant,56.0118677,92.86503,"660000, Красноярск, проспект Мира",проспект Мира,,Центральный район,,+7 (995) 311-20-25,"We-Sa,Su 12:00-01:00",https://www.openstreetmap.org/node/10763137405
node,2432303095,Урарту,restaurant,56.01168,92.8888325,"660049, Красноярск, улица Карла Маркса, 14А",улица Карла Маркса,14А,Центральный район,https://urartu24.ru,+7 (391) 291-80-14,,https://www.openstreetmap.org/node/2432303095
node,1259225008,Утка по-пекински,restaurant,56.0104741,92.8445759,"проспект Мира, 105",проспект Мира,105,Железнодорожный район,https://cafeutka.ru/,,,https://www.openstreetmap.org/node/1259225008
way,60220511,Фон Барон,restaurant,56.0081073,92.8701722,"улица Бограда, 21",улица Бограда,21,Центральный район,https://fon-baron.ru/,+7 (391) 216-98-55,"Mo-Su 12:00-00:00; Fr, Sa 12:00-02:00",https://www.openstreetmap.org/way/60220511
node,3406712983,Хозяин тайги,restaurant,55.9616109,92.7956725,"660000, Красноярск, Базайская улица",Базайская улица,,Свердловский район,,,,https://www.openstreetmap.org/node/3406712983
node,12433899761,Чайхана,restaurant,56.0399085,92.7857595,"660000, Красноярск, Приручейная улица",Приручейная улица,,Октябрьский район,,+7 (924) 368 03-53,,https://www.openstreetmap.org/node/12433899761
node,11629833469,Чешуя,restaurant,56.0128842,92.8531025,"660000, Красноярск, улица Ленина",улица Ленина,,Центральный район,https://bellinigroup.ru/rest/cheshuya/,+7 (391) 204-10-20,Mo off; Tu-Th 10:00-23:00; Fr-Sa 10:00-00:00; Su 10:00-23:00,https://www.openstreetmap.org/node/11629833469
node,10771182725,Ян Гримус,restaurant,56.0124159,92.8582725,"660000, Красноярск, улица Диктатуры Пролетариата",улица Диктатуры Пролетариата,,Центральный район,https://yangrimus.ru,+7 (391) 206-01-11,Mo-Su 12:00-00:00,https://www.openstreetmap.org/node/10771182725
node,3158291836,Дом актера,theatre,56.0087597,92.8756067,"660000, Красноярск, улица Бограда",улица Бограда,,Центральный район,,,,https://www.openstreetmap.org/node/3158291836
way,172602508,Красноярский государственный театр оперы и балета,theatre,56.0086563,92.868386,"660049, улица Перенсона, 2",улица Перенсона,2,Центральный район,https://krasopera.ru/,+7 391 2278697,Mo-Fr 09:00-19:00,https://www.openstreetmap.org/way/172602508
way,1311596014,Красноярский государственный цирк,theatre,55.995661,92.9075559,"проспект имени газеты Красноярский Рабочий, 143А",проспект имени газеты Красноярский Рабочий,143А,Свердловский район,https://circus-krasnoyarsk.ru,,,https://www.openstreetmap.org/way/1311596014
way,66007532,Красноярский драматический театр имени А. С. Пушкина,theatre,56.0113314,92.8655873,"660049, проспект Мира, 73",проспект Мира,73,Центральный район,https://sibdrama.ru/,,,https://www.openstreetmap.org/way/66007532
way,123906567,Красноярский музыкальный театр,theatre,56.0096848,92.8357996,"660021, проспект Мира, 129",проспект Мира,129,Железнодорожный район,https://www.muztk.ru/,+7 391 2215242,Mo-Su 10:00-20:00,https://www.openstreetmap.org/way/123906567
relation,4135186,Красноярский театр юного зрителя,theatre,55.9967691,92.9285933,"660025, Красноярск, улица Академика Вавилова, 25",улица Академика Вавилова,25,Кировский район,https://ktyz.ru/,+7 391 2656005,Mo-Su 10:00-20:00,https://www.openstreetmap.org/relation/4135186
node,3158291838,Мим-театр «За двумя Зайцами»,theatre,56.0529447,92.9725843,"660111, Красноярск, улица Тельмана, 30",улица Тельмана,30,Советский район,http://www.mimteatr.ru/,+7 902 9232869,Su 17:00-20:00,https://www.openstreetmap.org/node/3158291838
node,6089242735,Наш театр,theatre,56.0169753,92.7885784,"660041, Красноярск, улица Курчатова, 4",улица Курчатова,4,Октябрьский район,,,,https://www.openstreetmap.org/node/6089242735
way,72013296,Театр кукол,theatre,56.0123995,92.8567633,"улица Ленина, 119",улица Ленина,119,Центральный район,http://www.puppet24.com,+7 391 2113000,"10:00-14:00,15:00-19:00",https://www.openstreetmap.org/way/72013296
